tab delimited	contribution
data_model_version	description
1.0	Downloaded from KdD at 2026-08-14T14:48:43.171Z.
>>>>>>>>>>
tab delimited	kds
rock_types	minerals	element	kd	kd_low	kd_high	kd_definition	kd_types
Syenite	Aegirine	Nd	0.13			Solid-Melt	Phenocryst-Matrix
Syenite	Aegirine	Sm	0.33			Solid-Melt	Phenocryst-Matrix
Syenite	Aegirine	Eu	0.45			Solid-Melt	Phenocryst-Matrix
Syenite	Aegirine	Gd	0.6			Solid-Melt	Phenocryst-Matrix
Syenite	Aegirine	Tb	0.76			Solid-Melt	Phenocryst-Matrix
Syenite	Aegirine	Dy	0.92			Solid-Melt	Phenocryst-Matrix
Syenite	Aegirine	Ho	1.06			Solid-Melt	Phenocryst-Matrix
Syenite	Aegirine	Er	1.16			Solid-Melt	Phenocryst-Matrix
Syenite	Aegirine	Tm	1.24			Solid-Melt	Phenocryst-Matrix
Syenite	Aegirine	Yb	1.28			Solid-Melt	Phenocryst-Matrix
Syenite	Aegirine	Lu	1.3			Solid-Melt	Phenocryst-Matrix
